       2500
     
       0.000000      -0.380068       0.000000
       0.020000      -0.380068       0.000000
       0.040000      -0.380068       0.000000
       0.060000      -0.380068       0.000000
       0.080000      -0.380068       0.000000
       0.100000      -0.380068       0.000000
       0.120000      -0.380068       0.000000
       0.140000      -0.380068       0.000000
       0.160000      -0.380068       0.271548
       0.180000      -0.380067       0.151720
       0.200000      -0.380067       0.091786
       0.220000       0.022216       0.061653
       0.240000      -0.124740       0.045353
       0.260000      -0.357475       0.036148
       0.280000      -0.482513       0.030223
       0.300000      -0.508972       0.026447
       0.320000      -0.587711       0.023929
       0.340000      -0.606831       0.022037
       0.360000      -0.608121       0.020921
       0.380000      -0.619396       0.020255
       0.400000      -0.666888       0.019962
       0.420000      -0.636277       0.021721
       0.440000      -0.605126       0.020802
       0.460000      -0.674264       0.017723
       0.480000      -0.697087       0.015056
       0.500000      -0.669539       0.013001
       0.520000      -0.655244       0.011288
       0.540000      -0.656914       0.009920
       0.560000      -0.639937       0.008921
       0.580000      -0.653023       0.008148
       0.600000      -0.657517       0.007587
       0.620000      -0.690222       0.007312
       0.640000      -0.695133       0.007057
       0.660000      -0.700770       0.006851
       0.680000      -0.692412       0.006707
       0.700000      -0.695965       0.006621
       0.720000      -0.695201       0.006609
       0.740000      -0.691066       0.006652
       0.760000      -0.690989       0.006704
       0.780000      -0.686095       0.006761
       0.800000      -0.691848       0.006830
       0.820000      -0.696226       0.006906
       0.840000      -0.693374       0.006991
       0.860000      -0.685448       0.007100
       0.880000      -0.678872       0.007204
       0.900000      -0.678122       0.007287
       0.920000      -0.685446       0.007377
       0.940000      -0.675728       0.007473
       0.960000      -0.676971       0.007516
       0.980000      -0.673852       0.007484
       1.000000      -0.685019       0.007330
       1.020000      -0.677338       0.007104
       1.040000      -0.668982       0.006813
       1.060000      -0.667118       0.006498
       1.080000      -0.674731       0.006205
       1.100000      -0.672643       0.005936
       1.120000      -0.666927       0.005689
       1.140000      -0.663938       0.005476
       1.160000      -0.651874       0.005288
       1.180000      -0.645021       0.005106
       1.200000      -0.608509       0.004967
       1.220000      -0.550769       0.004861
       1.240000      -0.534799       0.004733
       1.260000      -0.583165       0.004577
       1.280000      -0.625179       0.004434
       1.300000      -0.642232       0.004321
       1.320000      -0.643525       0.004231
       1.340000      -0.643495       0.004148
       1.360000      -0.645453       0.004074
       1.380000      -0.645611       0.004008
       1.400000      -0.644949       0.003942
       1.420000      -0.644953       0.003870
       1.440000      -0.642688       0.003804
       1.460000      -0.646688       0.003747
       1.480000      -0.646022       0.003708
       1.500000      -0.639859       0.003678
       1.520000      -0.642819       0.003654
       1.540000      -0.641522       0.003653
       1.560000      -0.637668       0.003662
       1.580000      -0.638291       0.003681
       1.600000      -0.635890       0.003702
       1.620000      -0.616787       0.003727
       1.640000      -0.580747       0.003759
       1.660000      -0.431863       0.003854
       1.680000      -0.095676       0.004050
       1.700000       0.172565       0.004214
       1.720000       0.055821       0.004175
       1.740000      -0.243689       0.004036
       1.760000      -0.470405       0.003912
       1.780000      -0.578833       0.003849
       1.800000      -0.610173       0.003834
       1.820000      -0.619411       0.003827
       1.840000      -0.622996       0.003819
       1.860000      -0.619690       0.003823
       1.880000      -0.609520       0.003830
       1.900000      -0.585599       0.003849
       1.920000      -0.486947       0.003909
       1.940000      -0.152405       0.004104
       1.960000       0.600787       0.004508
       1.980000       1.553796       0.004978
       2.000000       1.540189       0.004982
       2.020000       0.379325       0.004423
       2.040000      -0.291906       0.004064
       2.060000      -0.502638       0.003948
       2.080000      -0.547235       0.003930
       2.100000      -0.540613       0.003937
       2.120000      -0.514261       0.003956
       2.140000      -0.498130       0.003968
       2.160000      -0.468873       0.003985
       2.180000      -0.343524       0.004051
       2.200000      -0.097489       0.004188
       2.220000       0.060469       0.004278
       2.240000      -0.240797       0.004116
       2.260000      -0.504200       0.003964
       2.280000      -0.599837       0.003914
       2.300000      -0.618998       0.003910
       2.320000      -0.622984       0.003900
