r (Ang), PDF (RMC), PDF (Expt)
   2.0000000000000000E-002  ,  -0.39146000000000003       ,  -0.39145999999999997     
   4.0000000000000001E-002  ,  -0.39146000000000003       ,  -0.39145999999999997     
   5.9999999999999998E-002  ,  -0.39146000000000003       ,  -0.39145999999999997     
   8.0000000000000002E-002  ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.10000000000000001       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.12000000000000000       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.14000000000000001       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.16000000000000000       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.17999999999999999       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.20000000000000001       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.22000000000000000       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.23999999999999999       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.26000000000000001       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.28000000000000003       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.29999999999999999       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.32000000000000001       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.34000000000000002       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.35999999999999999       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.38000000000000000       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.40000000000000002       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.41999999999999998       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.44000000000000000       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.46000000000000002       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.47999999999999998       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.50000000000000000       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.52000000000000002       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.54000000000000004       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.56000000000000005       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.57999999999999996       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.59999999999999998       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.62000000000000000       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.64000000000000001       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.66000000000000003       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.68000000000000005       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.70000000000000007       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.71999999999999997       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.73999999999999999       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.76000000000000001       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.78000000000000003       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.80000000000000004       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.82000000000000006       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.83999999999999997       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.85999999999999999       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.88000000000000000       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.90000000000000002       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.92000000000000004       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.94000000000000006       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.95999999999999996       ,  -0.39146000000000003       ,  -0.39145999999999997     
  0.97999999999999998       ,  -0.39146000000000003       ,  -0.39145999999999997     
   1.0000000000000000       ,  -0.39146000000000003       ,  -0.39145999999999997     
   1.0200000000000000       ,  -0.39146000000000003       ,  -0.37545055049158799     
   1.0400000000000000       ,  -0.39146000000000003       ,  -0.38571887477727756     
   1.0600000000000001       ,  -0.39146000000000003       ,  -0.39759517645990972     
   1.0800000000000001       ,  -0.39146000000000003       ,  -0.40693067170701935     
   1.1000000000000001       ,  -0.39146000000000003       ,  -0.41052262973922549     
   1.1200000000000001       ,  -0.39146000000000003       ,  -0.40720568616546315     
   1.1400000000000001       ,  -0.39146000000000003       ,  -0.39822732939197825     
   1.1599999999999999       ,  -0.39146000000000003       ,  -0.38678737983858497     
   1.1799999999999999       ,  -0.39146000000000003       ,  -0.37690861148121946     
